Exercise,Age,Gender,BMI
Low-Intensity Dance Class,21,Female,21.56606221
Qi Gong,19,Female,20.74087439
Gardening,31,Male,34.13992
Pilates,35,Male,33.41957239
Light Calisthenics,48,Female,32.95397849
Meditation and Deep Breathing,51,Male,33.08167402
Golf (Walking),60,Male,25.50366824
Water Aerobics,18,Female,31.49407517
Golf (Walking),54,Female,18.58827479
Golf (Walking),35,Male,33.03941552
Pilates,19,Female,34.4811694
Low-Intensity Dance Class,40,Male,23.40905355
Golf (Walking),57,Male,23.16198917
Qi Gong,45,Male,34.53310207
Qi Gong,58,Male,34.80267975
Light Calisthenics,55,Female,33.97005736
Golf (Walking),43,Male,30.8375631
Qi Gong,25,Female,18.59892834
Light Calisthenics,31,Female,21.83482571
Qi Gong,22,Male,22.48202902
Water Aerobics,30,Male,28.55221574
Light Calisthenics,59,Female,19.34307393
Water Aerobics,49,Female,22.49851017
Water Aerobics,21,Male,31.17042026
Low-Intensity Dance Class,23,Male,27.98404912
Golf (Walking),52,Male,26.71492286
Light Calisthenics,52,Female,24.96293481
Stretching Routine,41,Male,24.54790438
Gardening,30,Male,23.51175625
Golf (Walking),26,Female,28.82431738
Kayaking,50,Female,29.107554
Stretching Routine,44,Male,30.38884623
Water Aerobics,19,Female,34.31492756
Gardening,22,Male,29.08226346
Pilates,21,Male,23.18880761
Low-Intensity Dance Class,30,Female,29.73208603
Kayaking,42,Female,28.21130926
Water Aerobics,36,Female,25.24085672
Water Aerobics,30,Male,19.54459704
Gardening,56,Female,19.97470835
Meditation and Deep Breathing,37,Male,25.45210618
Light Calisthenics,31,Female,34.63148137
Stretching Routine,41,Female,24.50260017
Light Calisthenics,53,Female,19.18158969
Light Calisthenics,43,Female,28.29871048
Meditation and Deep Breathing,19,Female,27.56666752
Stretching Routine,35,Male,30.00699053
Light Calisthenics,23,Male,31.62463111
Light Calisthenics,47,Male,29.66816308
Kayaking,25,Male,29.36377752
Meditation and Deep Breathing,53,Female,33.7985402
Pilates,45,Female,26.66030359
Low-Intensity Dance Class,60,Female,20.03105055
Meditation and Deep Breathing,48,Female,25.8424954
Golf (Walking),36,Female,21.28403508
Meditation and Deep Breathing,26,Female,25.53774139
Gardening,58,Male,29.14203375
Golf (Walking),34,Female,21.31593985
Gardening,20,Female,34.57665453
Gardening,49,Female,20.65715982
Kayaking,46,Male,19.59179372
Golf (Walking),58,Female,25.92492438
Qi Gong,19,Male,19.12327793
Water Aerobics,50,Male,20.66918561
Qi Gong,42,Female,20.06381379
Pilates,43,Male,18.8895982
Stretching Routine,19,Male,23.72146954
Stretching Routine,44,Male,28.35548439
Golf (Walking),22,Male,21.88936074
Low-Intensity Dance Class,26,Male,33.89920168
Golf (Walking),46,Male,32.54984331
Water Aerobics,26,Male,27.68472164
Kayaking,59,Male,19.46962907
Gardening,21,Male,21.95965802
Water Aerobics,58,Female,18.56066334
Light Calisthenics,29,Male,21.86450925
Stretching Routine,57,Female,25.44253104
Kayaking,29,Male,32.98381379
Kayaking,24,Male,24.603464
Gardening,24,Female,31.63706131
Meditation and Deep Breathing,55,Female,27.47585867
Pilates,26,Female,28.32671343
Gardening,59,Female,28.18492741
Kayaking,23,Male,23.11954572
Kayaking,20,Female,23.03472355
Water Aerobics,42,Male,19.13758509
Pilates,28,Male,31.5147621
Golf (Walking),48,Female,21.92907831
Qi Gong,38,Female,26.29046954
Low-Intensity Dance Class,55,Male,29.70650978
Pilates,31,Male,30.95600026
Low-Intensity Dance Class,30,Male,19.39258381
Light Calisthenics,37,Male,31.58904307
Pilates,59,Male,22.30338819
Light Calisthenics,33,Female,20.31832517
Qi Gong,43,Male,23.30957609
Pilates,32,Male,32.97564179
Kayaking,25,Female,23.90398421
Meditation and Deep Breathing,47,Male,30.00223557
Water Aerobics,24,Male,18.67705133
Stretching Routine,21,Female,32.5786749
Kayaking,37,Female,33.87590092
Pilates,26,Male,32.67414535
Kayaking,43,Female,29.04596772
Golf (Walking),36,Female,28.9551125
Golf (Walking),28,Female,31.42627908
Kayaking,38,Female,23.86985935
Gardening,36,Male,28.77170485
Gardening,42,Male,33.07809833
Pilates,48,Male,33.66334913
Pilates,56,Male,22.52023142
Pilates,21,Female,22.48446556
Kayaking,59,Female,22.99754328
Qi Gong,38,Female,26.40216848
Pilates,37,Female,22.50830759
Golf (Walking),42,Female,28.97385066
Low-Intensity Dance Class,18,Male,34.82835151
Golf (Walking),25,Male,20.49641424
Light Calisthenics,38,Female,24.7127525
Kayaking,58,Male,33.72881085
Water Aerobics,30,Female,22.38683541
Stretching Routine,57,Male,25.35427391
Meditation and Deep Breathing,18,Female,33.55067313
Kayaking,50,Male,32.8818679
Pilates,30,Female,23.96603628
Kayaking,47,Male,25.41240432
Low-Intensity Dance Class,52,Female,22.02125599
Light Calisthenics,25,Male,30.24902305
Qi Gong,33,Male,34.53053885
Kayaking,18,Male,27.50377598
Water Aerobics,41,Male,27.97145489
Light Calisthenics,35,Female,19.85515341
Pilates,45,Female,28.12016498
Golf (Walking),18,Female,25.0264355
Pilates,42,Male,34.48911308
Gardening,43,Female,22.24187516
Golf (Walking),34,Female,34.50563981
Qi Gong,51,Male,30.81712934
Pilates,41,Male,22.16264101
Kayaking,38,Male,28.34554892
Light Calisthenics,52,Female,22.11515706
Water Aerobics,46,Female,24.13492387
Light Calisthenics,37,Male,21.22972967
Light Calisthenics,45,Male,30.45304697
Golf (Walking),50,Male,21.60465941
Qi Gong,29,Male,31.12968457
Gardening,40,Male,34.24120371
Stretching Routine,35,Female,21.68560908
Water Aerobics,21,Male,24.90406254
Light Calisthenics,32,Female,20.06407304
Meditation and Deep Breathing,50,Female,19.42318543
Stretching Routine,43,Female,20.94458329
Meditation and Deep Breathing,20,Female,33.66218269
Water Aerobics,38,Female,26.52779665
Low-Intensity Dance Class,56,Male,18.69603299
Light Calisthenics,32,Female,29.60965936
Light Calisthenics,19,Male,28.16366232
Qi Gong,58,Male,31.38717024
Stretching Routine,57,Male,21.85159671
Light Calisthenics,51,Male,33.2738094
Low-Intensity Dance Class,59,Male,23.64767141
Stretching Routine,49,Female,31.45953251
Light Calisthenics,18,Female,32.55908847
Light Calisthenics,53,Male,32.3289205
Light Calisthenics,20,Male,22.14673854
Stretching Routine,39,Female,24.65789705
Gardening,20,Female,23.71954549
Low-Intensity Dance Class,60,Male,21.25913549
Gardening,55,Male,29.26123386
Light Calisthenics,40,Female,32.26876915
Water Aerobics,26,Male,30.80855537
Pilates,33,Male,31.38089801
Qi Gong,35,Male,23.76923545
Light Calisthenics,45,Male,19.91298988
Qi Gong,53,Male,20.60638636
Water Aerobics,30,Female,28.82624577
Golf (Walking),26,Female,20.24297758
Low-Intensity Dance Class,37,Female,30.50512057
Kayaking,40,Female,18.69967061
Meditation and Deep Breathing,40,Female,27.60522207
Gardening,35,Female,33.11129923
Qi Gong,56,Female,27.55497745
Gardening,46,Male,28.50002039
Qi Gong,19,Female,28.63461603
Water Aerobics,52,Male,30.06443828
Golf (Walking),26,Female,24.90687825
Kayaking,34,Female,32.68915046
Water Aerobics,37,Male,33.96003305
Golf (Walking),49,Male,33.76834964
Low-Intensity Dance Class,60,Male,27.78900819
Pilates,31,Female,29.79524487
Light Calisthenics,52,Male,27.49563182
Qi Gong,53,Female,24.84138033
Light Calisthenics,29,Male,20.57043402
Gardening,25,Male,32.20986738
Light Calisthenics,35,Male,32.56545696
Gardening,58,Male,32.88107776
Qi Gong,36,Male,24.89631692
Golf (Walking),28,Female,18.97547292
Light Calisthenics,28,Male,32.45666921
Gardening,57,Male,20.24783223
Low-Intensity Dance Class,54,Female,31.28580408
Low-Intensity Dance Class,48,Male,18.94616344
Kayaking,55,Male,27.99533169
Golf (Walking),36,Male,26.32556151
Meditation and Deep Breathing,38,Female,31.84876288
Meditation and Deep Breathing,54,Male,18.5073579
Meditation and Deep Breathing,32,Female,21.96848172
Water Aerobics,22,Male,27.06778613
Gardening,27,Male,34.74591277
Gardening,32,Female,21.41510889
Golf (Walking),36,Male,23.5151407
Gardening,55,Female,30.60633638
Golf (Walking),19,Female,26.95388329
Golf (Walking),57,Female,29.97871541
Meditation and Deep Breathing,35,Female,19.39602526
Golf (Walking),43,Female,23.5115786
Meditation and Deep Breathing,51,Male,23.83007556
Kayaking,42,Male,30.5228411
Golf (Walking),38,Female,24.41600157
Qi Gong,47,Female,28.66393937
Stretching Routine,20,Female,29.59468014
Kayaking,27,Male,19.44573733
Light Calisthenics,47,Female,34.67216239
Meditation and Deep Breathing,57,Male,33.11354844
Meditation and Deep Breathing,41,Male,33.18319193
Meditation and Deep Breathing,43,Female,20.29201348
Golf (Walking),24,Male,30.43215475
Pilates,50,Male,33.09343493
Gardening,23,Female,33.82521305
Water Aerobics,42,Male,26.73067945
Golf (Walking),20,Female,33.05920683
Meditation and Deep Breathing,30,Female,34.22072786
Low-Intensity Dance Class,56,Female,32.01706691
Gardening,36,Female,31.6866112
Golf (Walking),58,Female,24.2652069
Light Calisthenics,38,Male,25.41720088
Stretching Routine,58,Female,22.36818768
Meditation and Deep Breathing,20,Female,23.65520498
Meditation and Deep Breathing,18,Male,33.61275116
Gardening,19,Female,28.3355345
Gardening,54,Female,26.51388403
Kayaking,29,Male,25.79794485
Gardening,59,Male,23.76426714
Kayaking,51,Female,27.6403941
Stretching Routine,56,Female,26.33731411
Kayaking,23,Male,28.24448254
Light Calisthenics,58,Male,29.68097663
Stretching Routine,19,Male,31.34453458
Water Aerobics,59,Male,32.59771716
Gardening,48,Male,31.39387898
Pilates,29,Female,32.89558236
Meditation and Deep Breathing,60,Female,25.12404636
Water Aerobics,33,Female,23.93778216
Golf (Walking),23,Female,22.15022532
Gardening,41,Male,22.65926728
Stretching Routine,41,Male,25.449714
Kayaking,37,Female,22.11113718
Stretching Routine,40,Female,21.99310836
Water Aerobics,19,Male,29.80488867
Meditation and Deep Breathing,59,Male,33.42305528
Kayaking,19,Male,19.26643117
Stretching Routine,58,Male,28.97555057
Low-Intensity Dance Class,56,Female,25.63658453
Stretching Routine,49,Male,26.03087932
Stretching Routine,57,Male,26.5239871
Gardening,25,Female,23.43823705
Meditation and Deep Breathing,52,Female,34.23957776
Qi Gong,44,Male,32.9590802
Stretching Routine,20,Male,22.45858356
Golf (Walking),26,Male,32.46193126
Golf (Walking),52,Female,31.04303979
Light Calisthenics,34,Female,29.61682562
Water Aerobics,25,Female,32.46646657
Stretching Routine,56,Female,23.93206161
Stretching Routine,27,Male,22.71502243
Meditation and Deep Breathing,60,Male,20.09019203
Water Aerobics,42,Male,30.56249882
Low-Intensity Dance Class,23,Male,33.2012949
Low-Intensity Dance Class,41,Male,28.44850025
Pilates,51,Female,29.05966143
Kayaking,47,Male,20.32827219
Water Aerobics,50,Female,29.43600406
Light Calisthenics,44,Female,31.16997944
Gardening,59,Male,32.04431307
Pilates,59,Female,31.78903105
Pilates,51,Male,29.72747559
Low-Intensity Dance Class,42,Female,24.98332527
Light Calisthenics,21,Male,21.32134972
Low-Intensity Dance Class,37,Male,21.32228228
Low-Intensity Dance Class,45,Male,34.13680301
Gardening,43,Female,27.49186328
Stretching Routine,26,Male,25.22507797
Meditation and Deep Breathing,37,Male,29.25586606
Water Aerobics,26,Male,28.96534582
Light Calisthenics,57,Male,31.84889614
Stretching Routine,58,Female,27.05391565
Pilates,49,Male,33.19295465
Light Calisthenics,58,Male,19.09314532
Light Calisthenics,49,Male,21.57960853
Qi Gong,47,Male,23.96816418
Qi Gong,24,Female,27.21387286
Golf (Walking),34,Female,23.825378
Gardening,21,Male,19.87165907
Gardening,60,Male,22.50919131
Golf (Walking),55,Female,33.90195831
Water Aerobics,52,Female,18.76004455
Golf (Walking),32,Female,29.72094994
Light Calisthenics,49,Male,26.41724702
Kayaking,59,Female,26.92160258
Light Calisthenics,41,Female,28.42559737
Water Aerobics,47,Male,21.42444027
Gardening,41,Female,25.24123047
Gardening,38,Male,29.40020837
Stretching Routine,45,Female,25.39183359
Pilates,31,Female,29.07602693
Golf (Walking),22,Male,31.18376012
Pilates,24,Male,32.26357281
Water Aerobics,51,Male,23.07423898
Low-Intensity Dance Class,32,Female,23.67799706
Golf (Walking),31,Female,28.68187496
Kayaking,49,Male,29.94743003
Gardening,33,Male,24.20344732
Gardening,53,Male,24.40163175
Kayaking,52,Female,30.85516667
Water Aerobics,33,Female,34.32560496
Pilates,39,Female,30.32574042
Pilates,34,Male,26.87459091
Low-Intensity Dance Class,35,Male,28.45025381
Golf (Walking),59,Male,34.09751447
Golf (Walking),20,Female,22.84530899
Qi Gong,47,Female,28.65811266
Meditation and Deep Breathing,35,Female,23.36592666
Meditation and Deep Breathing,23,Male,30.75447334
Low-Intensity Dance Class,19,Female,31.52676839
Low-Intensity Dance Class,47,Male,20.73061052
Meditation and Deep Breathing,25,Male,24.31361876
Pilates,60,Male,31.07434388
Qi Gong,53,Female,24.48897045
Meditation and Deep Breathing,54,Female,24.8002778
Low-Intensity Dance Class,21,Male,24.59769782
Meditation and Deep Breathing,44,Female,31.85008339
Qi Gong,27,Female,32.57814328
Kayaking,27,Male,28.82736894
Meditation and Deep Breathing,34,Male,20.60079174
Qi Gong,48,Female,30.03688392
Golf (Walking),41,Female,26.58757489
Meditation and Deep Breathing,45,Female,23.34693033
Water Aerobics,53,Male,23.16953046
Golf (Walking),29,Male,34.97276023
Gardening,55,Male,18.87226503
Pilates,41,Female,21.02211253
Low-Intensity Dance Class,21,Female,28.37680018
Kayaking,59,Male,18.79286478
Qi Gong,40,Male,20.52099181
Gardening,33,Female,18.70207884
Stretching Routine,29,Female,22.38000654
Qi Gong,24,Male,27.32063719
Kayaking,55,Male,26.36185802
Meditation and Deep Breathing,52,Female,25.44047458
Low-Intensity Dance Class,49,Female,23.27000728
Kayaking,50,Female,26.75234097
Pilates,24,Female,29.49077285
Meditation and Deep Breathing,34,Female,24.93618775
Golf (Walking),29,Female,25.57566234
Low-Intensity Dance Class,58,Female,31.43703046
Light Calisthenics,27,Male,30.42448159
Water Aerobics,22,Male,32.44479176
Light Calisthenics,59,Male,32.25522548
Golf (Walking),46,Male,33.18506302
Gardening,35,Male,26.23387658
Golf (Walking),46,Male,19.55505774
Kayaking,38,Female,19.07881536
Kayaking,42,Male,20.4665765
Qi Gong,28,Male,24.82121505
Water Aerobics,44,Male,27.80830381
Golf (Walking),25,Female,23.47191846
Low-Intensity Dance Class,58,Female,27.32177516
Kayaking,48,Female,28.19720363
Pilates,43,Male,25.33657102
Golf (Walking),50,Male,21.30093101
Meditation and Deep Breathing,59,Female,19.16528853
Meditation and Deep Breathing,43,Male,21.48724118
Light Calisthenics,21,Female,34.30913696
Pilates,24,Female,24.69221723
Gardening,46,Male,32.86538205
Qi Gong,35,Male,19.80265866
Golf (Walking),40,Male,32.18785006
Kayaking,28,Male,27.48136691
Low-Intensity Dance Class,53,Female,27.50295765
Light Calisthenics,51,Female,23.00127375
Qi Gong,34,Female,30.88258929
Kayaking,56,Female,30.31696522
Meditation and Deep Breathing,57,Male,22.43710926
Stretching Routine,52,Female,20.18412419
Qi Gong,54,Male,20.26967629
Stretching Routine,58,Female,18.81878869
Water Aerobics,21,Male,24.08824971
Qi Gong,39,Male,30.64594763
Pilates,29,Male,27.53919389
Light Calisthenics,20,Female,32.42341889
Meditation and Deep Breathing,34,Female,19.57154584
Gardening,31,Male,19.59853005
Kayaking,27,Female,28.01483451
Gardening,36,Female,33.39044828
Stretching Routine,60,Male,26.96212297
Kayaking,29,Male,32.0156605
Kayaking,18,Male,32.23806154
Low-Intensity Dance Class,60,Male,32.68831345
Pilates,41,Male,22.95522568
Meditation and Deep Breathing,20,Male,18.95587774
Low-Intensity Dance Class,43,Male,31.36519288
Golf (Walking),33,Male,31.06106456
Kayaking,25,Female,23.2930999
Stretching Routine,20,Female,27.54839982
Water Aerobics,23,Male,20.15809764
Golf (Walking),51,Male,32.10794044
Qi Gong,43,Male,22.67102612
Kayaking,58,Female,34.64946984
Gardening,48,Female,19.37754285
Water Aerobics,53,Male,21.46258435
Pilates,41,Male,30.23537606
Low-Intensity Dance Class,24,Male,30.14694731
Stretching Routine,42,Female,31.10100223
Water Aerobics,26,Female,33.8115174
Kayaking,53,Female,28.87033593
Pilates,60,Male,20.56011918
Light Calisthenics,60,Male,31.11449852
Low-Intensity Dance Class,34,Female,34.98744425
Kayaking,42,Female,29.538504
Water Aerobics,56,Male,29.56794382
Golf (Walking),54,Male,22.06641402
Qi Gong,53,Male,21.59148795
Stretching Routine,59,Female,20.23773466
Kayaking,58,Female,28.19654529
Golf (Walking),50,Male,29.99163349
Low-Intensity Dance Class,50,Female,29.96853507
Gardening,41,Female,25.99708521
Low-Intensity Dance Class,40,Female,27.19598862
Gardening,21,Male,32.3987804
Qi Gong,50,Female,33.22451579
Meditation and Deep Breathing,50,Male,31.24801939
Pilates,49,Female,22.85539823
Water Aerobics,39,Male,19.41526378
Gardening,48,Female,34.37236659
Stretching Routine,50,Female,25.45468937
Water Aerobics,36,Male,32.48561206
Stretching Routine,35,Male,25.81949335
Water Aerobics,58,Female,31.71565407
Golf (Walking),49,Female,33.44503232
Golf (Walking),27,Male,19.03086107
Pilates,40,Male,20.26165608
Low-Intensity Dance Class,53,Male,28.60088254
Kayaking,24,Female,21.87222916
Golf (Walking),55,Male,33.96743971
Water Aerobics,58,Female,24.83908997
Gardening,23,Female,32.891829
Kayaking,59,Female,25.98806191
Golf (Walking),49,Male,20.87178697
Golf (Walking),43,Female,25.60047584
Pilates,57,Male,27.88839318
Qi Gong,46,Male,25.10624268
Gardening,48,Female,31.41234919
Meditation and Deep Breathing,30,Female,34.03793883
Stretching Routine,38,Male,18.50094138
Stretching Routine,53,Female,25.01940852
Gardening,42,Male,31.5665321
